,latitude,latitude,latitude,longitude,longitude,longitude,altitude,altitude,altitude,altitude,distance_meters
,min,max,mean,min,max,mean,min,max,mean,std,
placemark,,,,,,,,,,,
Belfast 28/10/2024 11:35,54.56724333333333,54.59549333333333,54.58174407707413,-5.967856666666667,-5.934148333333333,-5.947983100147276,-7.6,49.6,13.516053019145803,6.980241290181966,16809.588760922255
Camaderry 15/12/2024 09:04,53.005851666666665,53.041255,53.019338344360435,-6.413018333333334,-6.323738333333334,-6.375414762129805,121.1,699.6,503.8018903591683,187.83405893386768,141045.78400940556
Croomlin dentist/10/2024 12:55,53.32070999999999,53.33426833333333,53.326829778761066,-6.3218733333333335,-6.316370000000001,-6.318851445427729,31.5,57.2,44.011504424778764,6.90037204240764,1840.5868910675147
Croomlin dentist/10/2024 12:55 Part 2,53.32123333333334,53.33968333333334,53.330804124293785,-6.322068333333334,-6.316395,-6.318553079096045,14.1,52.0,35.15028248587571,8.661888337934123,2409.2250822261235
Derrybawn loop 02/03/2025 09:01,52.98400333333334,53.01121333333334,52.99620710753649,-6.382255,-6.323808333333333,-6.3495371298778664,122.9,663.1,374.21376228775694,170.18838853512662,652592.3248214439
Glen Beach Cliff Walk â€“ Wicklow Head 17/11/2024 11:14,52.967823333333335,52.982951666666665,52.97433294387171,-6.050676666666667,-6.004526666666667,-6.022384272623138,-6.1,66.0,26.809278350515463,16.59465054385954,66642.88630591497
Glendalough   Spinc Glenealo Valley and the Wicklow Way 24/11/2024 08:56,52.98908166666667,53.01047333333333,53.00112353893741,-6.398274999999999,-6.323638333333334,-6.362019079330422,118.4,539.2,289.09497816593887,129.18715578824123,711971.8630907397
Glendelough 29/09/2024 09:08,53.00025000000001,53.01025666666666,53.004394625468166,-6.398210000000001,-6.3241016666666665,-6.362962732521848,116.6,512.7,261.9263108614232,127.72953013487871,1089064.9785420836
Greatsugarloaf /11/2024 11:47,53.163373333333325,53.16953166666667,53.167498419913414,-6.142929999999999,-6.1353116666666665,-6.138580432900432,73.8,121.5,88.9948051948052,12.140405526304734,1581.6595040592906
Greatsugarloaf /11/2024 11:47 Part 2,53.149575000000006,53.16955500000001,53.15852879039704,-6.157733333333335,-6.1353349999999995,-6.147021648199446,60.0,508.7,238.32479224376732,112.84954909013078,317931.8348047102
Howth 20/10/2024 12:43,53.363929999999996,53.389264999999995,53.37687336057201,-6.086896666666666,-6.045096666666666,-6.065113270343888,-2.2,123.3,59.383350357507666,32.88375290509801,821247.5025056821
Killiney hill 27/10/2024 10:18,53.25589,53.277618333333336,53.26792802158273,-6.11709,-6.091683333333333,-6.10480601618705,1.8,160.2,60.61906474820143,44.19560448393375,46067.6353603423
Lucan to Hazelhatch 30/10/2024 14:54,53.317936666666675,53.33446000000001,53.32731083114035,-6.5254,-6.429741666666667,-6.477340978070175,42.9,79.6,66.50039473684211,6.941689174281048,297429.56480906846
Tara station to Usher 27/10/2024 14:00,53.346815,53.34997833333333,53.34761386015326,-6.273151666666666,-6.2547266666666665,-6.264358227969349,-35.4,39.6,-3.287931034482759,13.432220053998194,42971.04762862713
Tiknock 03/11/2024 10:44,53.23554000000001,53.27196000000001,53.25073547886109,-6.254965,-6.210046666666667,-6.235366773080242,97.5,541.2,319.8938740293356,145.62392086076198,1005188.3209125936
Tonalagee Blessington  04/05/2025 09:10,53.04264,53.113195,53.09011340742996,-6.498885,-6.381334999999999,-6.426668982947624,243.2,850.6,642.3956151035324,125.62801558115804,2095421.0150989431
Tonelagee Mullaghcleevaun 13/10/2024 09:11,53.00894666666667,53.10381333333333,53.06904739813995,-6.407216666666667,-6.295443333333333,-6.364917400354296,147.9,846.0,530.4909654561559,212.707183136703,2809882.7437817384
Tonelagee from Laragh /12/2024 09:01,53.00847166666667,53.05956333333334,53.04168380603639,-6.396715,-6.297498333333334,-6.345476849755881,136.4,814.3,450.2085885486019,169.90834010365853,1105709.5346060717
Wicklow Turlough 06/10/2024 09:10,53.024224999999994,53.04185166666666,53.03432616028708,-6.415721666666667,-6.3961016666666675,-6.40699264354067,475.7,689.3,599.0925837320574,73.99844426081245,39830.75276008936
dodder river 22/12/2024 10:46,53.27655500000001,53.317056666666666,53.298280524463216,-6.357651666666667,-6.237803333333333,-6.294040413586766,6.4,84.8,44.210031678986276,19.593619649557102,110997.66717135005
little sugar loaf bray head /12/2024 11:31,53.16079,53.204901666666665,53.175169021406724,-6.136010000000001,-6.079031666666666,-6.102664281345566,-13.5,345.4,150.1794829024187,82.24445592429501,467553.57447224593
sandymount 28/12/2024 12:57,53.33411666666666,53.342254999999994,53.33847664492753,-6.2138583333333335,-6.151233333333333,-6.184265342995169,-13.2,14.2,1.0582608695652174,5.0006614820849995,172958.85641852554
